Question,Answer,Category,Published question,Featured question
Do I need my high school transcript for the CSU application?,Yes. Use your unofficial high school transcript to enter your grades and A-G courses correctly.,CSU Application,TRUE,FALSE
Should I use my school email or personal email?,Use a personal email you check often. You may lose access to your school email after graduation.,CSU Application,TRUE,FALSE
What are A-G courses?,A-G courses are high school classes that meet CSU and UC admission requirements.,CSU Application,TRUE,FALSE
What should I do after submitting my CSU application?,"Check your email, create your campus portals, check for extra steps, submit requested documents, apply for financial aid, and watch for admission decisions.",CSU Application,TRUE,FALSE
Why do I need to create a campus portal?,"A campus portal is where each CSU campus may post documents, deadlines, admission updates, and next steps.",CSU Application,TRUE,FALSE
How do I know if a CSU campus needs extra documents?,Check your email and campus portal often. Each campus may have different requirements.,CSU Application,TRUE,FALSE
When should I check for admission decisions?,Check your email and campus portals often after applying. Each campus may release decisions at different times.,CSU Application,TRUE,FALSE
What is the UC application?,The UC application is used to apply to University of California campuses.,UC Application,TRUE,FALSE
Which campuses use the UC application?,"UC campuses include UCLA, UC Berkeley, UC Irvine, UC Riverside, UC San Diego, UC Santa Barbara, UC Davis, UC Santa Cruz, and UC Merced.",UC Application,TRUE,FALSE
When does the UC application open?,"For fall admission, the UC application usually opens on August 1.",UC Application,TRUE,FALSE
What is the UC filing period?,The UC filing period is usually October 1 through December 1 for fall admission.,UC Application,TRUE,FALSE
Why should I start the UC application early?,"Starting early gives you time to choose campuses, answer the Personal Insight Questions, check your grades, and ask for help.",UC Application,TRUE,FALSE
What information do I need before applying to a UC?,"You may need a personal email, unofficial transcript, senior year classes, activities, awards, jobs, volunteer work, family information, residency information, payment or fee waiver information, and Personal Insight Question drafts.",UC Application,TRUE,FALSE
How many Personal Insight Questions do I answer?,UC applicants answer 4 out of 8 Personal Insight Questions.,UC Application,TRUE,FALSE
Do I need to answer all 8 UC Personal Insight Questions?,No. You only answer 4 out of the 8 questions.,UC Application,TRUE,FALSE
Why should I use my transcript when entering grades?,Use your transcript so your academic history matches your official school records.,UC Application,TRUE,FALSE
What happens after I submit my UC application?,"Save your UC Application ID number, check your email, create campus portals, watch for admission decisions, apply for financial aid, and complete next steps if admitted.",UC Application,TRUE,FALSE
What is a UC Application ID number?,A UC Application ID number is the number connected to your submitted UC application. Save it after you apply.,UC Application,TRUE,FALSE
What is a campus portal?,"A campus portal is an online account where a college posts your admission updates, documents, deadlines, and next steps.",UC Application,TRUE,FALSE
What is the Statement of Intent to Register?,The Statement of Intent to Register is how you tell a UC campus that you plan to attend after being admitted.,UC Application,TRUE,FALSE
When do I send official transcripts and AP or IB scores?,Send official transcripts and AP or IB scores after you choose the campus you will attend and the school asks for them.,UC Application,TRUE,FALSE
What is financial aid?,Financial aid is money that helps students pay for college.,Financial Aid,TRUE,TRUE
Where does financial aid come from?,"Financial aid can come from the federal government, the state, your college, or outside scholarships.",Financial Aid,TRUE,FALSE
What is FAFSA?,FAFSA stands for Free Application for Federal Student Aid. Students use it to apply for federal and state financial aid.,Financial Aid,TRUE,FALSE
What is CADAA?,CADAA stands for California Dream Act Application. Some students complete CADAA instead of FAFSA.,Financial Aid,TRUE,FALSE
Who should complete FAFSA?,Most students complete FAFSA to apply for financial aid.,Financial Aid,TRUE,FALSE
Who might complete the California Dream Act Application?,"The California Dream Act Application may be for undocumented students, DACA recipients, U visa holders, or students with Temporary Protected Status.",Financial Aid,TRUE,FALSE
When does FAFSA open?,"For students planning to start college in Fall 2027, the 2027-2028 FAFSA is expected to open by October 1, 2026. Students should always check the official FAFSA website for updates.",Financial Aid,TRUE,FALSE
Why should I check FAFSA and college deadlines?,"Deadlines can change. Colleges may also have their own financial aid deadlines, so it is important to check official websites and student portals.",Financial Aid,TRUE,FALSE
What are grants?,Grants are money for college that students usually do not have to pay back.,Financial Aid,TRUE,FALSE
What are scholarships?,"Scholarships are money for college. They may be based on need, grades, background, major, activities, or other qualifications.",Financial Aid,TRUE,FALSE
What is work-study?,Work-study is a part-time job that helps students earn money for school.,Financial Aid,TRUE,FALSE
What are loans?,Loans are money students borrow and must pay back later.,Financial Aid,TRUE,FALSE
What is the difference between subsidized and unsubsidized loans?,"A subsidized loan is based on financial need. The government usually pays the interest while you are in school at least half-time. An unsubsidized loan is not based on financial need, and interest starts adding up while you are in school.",Financial Aid,TRUE,FALSE
Do I have to accept every loan offered to me?,"No. You do not have to accept every loan. Review your grants, scholarships, total cost, and remaining balance before accepting loans.",Financial Aid,TRUE,FALSE
What is a financial aid offer?,A financial aid offer explains what aid a college can give you after you apply for financial aid and are accepted.,Financial Aid,TRUE,FALSE
What might be included in my financial aid offer?,"A financial aid offer may include grants, scholarships, work-study, subsidized loans, unsubsidized loans, estimated cost of attendance, and remaining balance.",Financial Aid,TRUE,FALSE
What does cost of attendance mean?,"Cost of attendance is the estimated full cost to attend a college. It may include tuition, fees, books, housing, food, transportation, and personal expenses.",Financial Aid,TRUE,FALSE
What does remaining balance mean?,Remaining balance is the amount you may still need to pay after your financial aid is applied.,Financial Aid,TRUE,FALSE
What does it mean if I see a negative number on my financial aid offer?,"A negative number may mean your financial aid is more than your current charges. This could lead to a refund, but you should always check with the financial aid office or student accounts office.",Financial Aid,TRUE,FALSE
Why should I check my email often?,"Colleges send important information by email. This can include forms, deadlines, portal instructions, admission decisions, and financial aid updates.",First-Gen Student Tips,TRUE,FALSE
Why should I use a personal email for college applications?,You may lose access to your high school email after graduation. A personal email helps you keep access to college messages.,First-Gen Student Tips,TRUE,FALSE
Why should I not stop after submitting an application?,"Submitting the application is only the first step. You may still need to set up your portal, submit documents, apply for financial aid, and complete other steps.",First-Gen Student Tips,TRUE,FALSE
Why is the student portal important?,"The student portal is where colleges post important updates, missing documents, financial aid information, registration steps, and deadlines.",First-Gen Student Tips,TRUE,FALSE
Why should I meet with a counselor early?,"A counselor can help you understand requirements, choose classes, make a plan, and avoid missing important steps.",First-Gen Student Tips,TRUE,FALSE
What should I ask a counselor if I want to transfer?,"Ask about transfer requirements, major preparation, education plans, and transfer programs like TAG.",First-Gen Student Tips,TRUE,FALSE
What should I do if I feel confused about the college process?,"Start with one step at a time. Check your email and portal, use this website for general help, and talk to a counselor for personal guidance.",First-Gen Student Tips,TRUE,FALSE
Where can I go if the bot does not know the answer?,"Contact your counselor, admissions office, financial aid office, or campus support office. The bot should not guess if it does not know the answer.",First-Gen Student Tips,TRUE,FALSE
