Category,Newest FAQ first,PIC,Type,Text
Notifications,Ko nhận được push notification trên desktop khi có tin nhắn mới,,,
Notifications,MC ko nhận đc thông báo của mobile app,,,
Channels,Đã kết nối thành công với Facebook nhưng tin nhắn mới không hiển thị trong Chatty,,,
AI Assistant,MC có nhu cầu extend số products/ URL hoặc files để train AI,,,
AI Assistant,AI assistant trả lời sai link sản phẩm,,,
AI Assistant,Làm thế nào để test AI assistant khi MC chưa activate tính năng đó?,,,
Channels,MC gặp vấn đề với phần add và connect email channel,,,
AI Assistant,"AI trả lời sai thông tin (price, inventory…) của sản phẩm",,,
Subscription,"MC xin discount để upgrade lên paid plan ",,,
Genaral,MC muốn transfer admin email sang email khác,,,
Genaral,"MC Trung Quốc không truy cập được app Chatty – Màn hình trắng, console báo lỗi",,,
FAQs,FAQ page của app overwrite các default page template,,,
Genaral,Development store bị block ko dùng được app0-,,,
Chatbox,MC contact vì khi login vào link https://app.meetchatty.com/ thì nhận được thông báo incorrect email or password,,,
AI Assistant,Quá trình sync products cho data source của AI assistant bị stuck,,,
Subscription,Các yêu cầu liên quan đến Billing và Refund,,,
Channels,Vấn đề liên quan đến connect Chatty với WhatsApp,,,
AI Assistant,Câu trả lời của AI bị duplicate,,,
Genaral,Khi login vào https://app.meetchatty.com/ báo Account not activated,,,
Inbox,MC muốn export các conversation ở Inbox,,,
Inbox,Manage chat của nhiều store trên cùng 1 account,,,
AI Assistant,AI recommend sản phẩm từ website khác,,,
AI Assistant,1 số lưu ý khi KH cần hỗ trợ training AI Assistant,,,
AI Assistant,AI ko sync đủ số product,,,
AI Assistant,AI gửi sai email support của store,,,
AI Assistant,AI không tự động transfer agent theo Automation assigment setting,Nguyễn Thị Phượng,,
Chatbox,Click vào icon email (Contact us) ở widget thì mở ra blank page,Đỗ Minh Quân,,
AI Assistant,AI ko trả về đúng link sản phẩm theo từng variant,,,
AI Assistant,Scenario Order Tracking ko work,,,
Notifications,Trigger lại popup allow push notifications trên mobile app,Trương Cảnh Huy,,
Chatbox,"Sử dụng function để trigger open, close widget",Đỗ Minh Quân,,
Channels,Email forwarding ko đc verify dù đã add forwarding email thành công và nhận đc verification email,,,
Notifications,Chatty không hiện trong device/notifications settings của mobile,Trương Cảnh Huy,,
Translations,Status hiện Outdated ở 1 language trong Translations,,,
