"Category","Reviewer","Question","Answer"
"rewards","","Can customers use multiple Joy discount codes in one order?","By default, Shopify allows only one discount code per order. To enable multiple Joy discount codes, you need to set up the combination condition for those codes. If configured correctly, customers can redeem multiple Joy discounts in one order, but each discount code can only be used once by the customer."
"rewards","","How can I exclude Joy rewards/discounts from being used for specific products like training courses?","If your training course can be purchased as a product on your website, you can exclude it from the Joy rewards program by adjusting the applicable categories section in the program settings."
"rewards","","What happens if I don't set a limit on discount code usage?","If you do not set a limit on the discount code usage, customers can redeem the same Joy discount code multiple times unless you enable the maximum discount use limit option. It is recommended to set this limit if you want to restrict the code to be used only once."
"integration","","What tag should I be using to connect to the right points in the email?","To connect to the right points in your Klaviyo email, you should use the appropriate tag that corresponds to the points balance. If you're unsure, please refer to Klaviyo's documentation or contact their support for specific tag details."
"bug","","Our Get 15% off button is obscuring our checkout button on the mobile phone. Can you please look into this for me?","It appears that the button obscuring your checkout button is not from our app. I recommend contacting the Shopify support team, as they can help identify which app is causing this issue."
"widget","","Can I change the color of the reward display in the app?","Yes, you can change the color of the reward display. Since you are on the free plan, we can assist you with a CSS code change to adjust the color to a gold-like shade."
"widget","","How can customers redeem their points without manual intervention?","Customers can redeem their points through the Loyalty widget or by using Redeem blocks on the Customer profile page. For setting up the widget, you can refer to this guide: https://www.awesomescreenshot.com/video/50505075?key=1ed83018035387da62184e460fe3a2d0. Additionally, we can assist in adding loyalty blocks to the customer profile page."
"widget","","Can we add a redeem option to the customer profile page?","Yes, we can help you add loyalty blocks to the customer profile page. Please share the collaborator code from your Shopify settings so we can send an access request to implement this."
"widget","","How will the loyalty reward be displayed on my store once activated?","The loyalty widget will display in a floating format on your live store. You can see it now that it is activated."
"rewards","","How can we implement a rule that allows customers to enjoy a 10% discount upon registration?","You can modify your sign-up program to award a discount instead of points. Once set up, the system will automatically generate a discount code for registered members, which can be copied directly."
"vip","","How can I set the loyalty tiers to reset annually or based on the previous 12 months of spending?","Currently, you can set the loyalty tiers to reset to zero at the beginning of each calendar year. However, for a rolling assessment based on the previous 12 months, you would need the Tier Assessment feature, which is available only on the Ultimate plan. Alternatively, you can use the Tier Downgrade function, where customers' tiers will be downgraded if they don't place any orders for a specific time period."
"billing","","How can I get pricing for the Ultimate plan?","You can check the plan details and pricing in your Joy Loyalty app under Settings > Subscriptions > All plans. If you would like, I can also share your requests with our account manager team, who can provide recommendations and contact you."
"billing","","Why can't we subscribe to the Advanced plan?","The issue is likely because your store is currently on a Development Shopify Plan, which does not allow you to approve app charges. We can enable Joy for a 14-day trial to help you set up your loyalty program during this development phase."
"billing","","Will our settings in Joy be saved if Shopify is not on a paid plan when the trial ends?","Yes, if your plan is downgraded back to free, our app can still save the paid settings you worked on before. When you upgrade again, you won't have to set them up again as long as the app isn't uninstalled."
"integration","","Can I get advanced access to the Joy Loyalty app for integration with Seguno Email Marketing?","Yes, we can grant you access to a development store with full access to our Paid Plan to test the Metafield sync in a live environment. Please provide your Shopify store URL, which you have already done, and I will request confirmation from my Manager."
"points","","Why am I not able to redeem my customers' points, as no points are showing up to redeem although they have points to use?","There could be several reasons why points are not showing up for redemption. Please ensure that the earning program is active, the customer is a member of the loyalty program, and that the order meets any minimum conditions required for points to be available for redemption."
"widget","","How can I disable the automatic popup for the referral widget and set custom triggers for its display?","Currently, Joy does not natively support advanced triggers like 'Exit intent' or 'After add to cart' directly in the basic settings. The automatic popup on page load option is already disabled, and the referral widget will only appear when clicked. Joy typically avoids using exit-intent triggers to prevent conflicts with marketing popup apps."
"rewards","","How can I create different rewards for signing up for the newsletter?","You can access your Reward Program and go to the Earning Program section. Since you've already activated the 'Sign up for newsletter' rule, please test it on your store to ensure it's working as expected."
"widget","","Is there a way to adjust the order of how the earning programs appear in the loyalty widget?","Yes, you can rearrange the order of your programs by going to Onsite > Loyalty Widget > Display > Ways to Earn. You can easily drag and drop the Newsletter Sign-up program to the top as needed."
"other","","Can I send out automated emails for loyalty notifications?","Yes, Joy offers a notification feature that applies across various parts of your program, including reward programs, referral programs, VIP tiers, and points expiry reminders. You can check this feature under Settings > Notification."
"billing","","Why is the discount code valid but not applicable for my customer?","The discount code is valid but not applicable because the customer associated with the email thousandlashes.usa@gmail.com does not own any discounts at the moment. Only the owner of the discount can use it. You can log in with the account esterelena12@gmail.com, which does have the discount, to use it. Additionally, the discount cannot be combined with any other discounts as per the redeem program settings."
"migration","","Can I upload my Judge.me reviews to Joy Loyalty so they are displayed on Joy Loyalty?","Joy does not display reviews directly on your website, so you don't need to 'migrate' your reviews into Joy. However, you can connect Judge.me to Joy in the 'Integrations' section, allowing Joy to automatically check for new reviews and award loyalty points based on your settings."
"billing","","Do I have to upgrade to the paid Joy plan to connect Judge.me and award loyalty points for reviews?","The feature to connect Judge.me and award loyalty points for reviews is available for the Essential plan and above, which is priced at $29 per month and includes a 14-day free trial."
"vip","","How can I set up a rewards program specifically for VIP customers?","To offer exclusive rewards, you need to set up a VIP Program. Once active, you can configure specific conditions so that only your VIP members receive special promotions, such as double points during a flash sale."
"points","","Why should I stop giving rewards after a new program starts?","You should stop giving rewards after the new program starts to prevent customers from receiving rewards from both the existing program and the new double points program. This ensures clarity and fairness in the rewards structure."
"widget","","How can I customize my Joy widget to match my store's design?","To customize your Joy Widget, go to Onsite > Loyalty Widget in the Joy app. From there, you can adjust the colors, icons, and position to align with your brand's design."
"widget","","How can I improve the visibility of my loyalty program?","To improve the visibility of your loyalty program, you can set up a dedicated Loyalty page and blocks. Would you like assistance with this setup?"
"referral","","How do I enable the referral program in Joy Loyalty?","To enable the Referral program, simply click the 'Turn On' button in the Joy app."
"widget","","How can I create an SEO-friendly loyalty page?","You can create an SEO-friendly loyalty page by following our demo loyalty page as a reference. Grant access to your Theme and Pages, and our tech team will assist you in setting up the page template and adding loyalty blocks. Once set up, you can access the Loyalty page in your Theme to customize it further."
"bug","","Why are customers not receiving points after subscribing to the newsletter?","The issue was due to an internal validation condition in the logic of the newsletter reward, which sometimes prevented the reward from being triggered even after subscription confirmation when double opt-in was activated. This has been fixed, and the newsletter reward should now work correctly."
"points","","How can I set up point earning for orders placed through Amazon and my app?","To enable point earning for orders from Amazon and your app, you need to remove the channel restrictions in your current setup that require orders to be placed specifically through the 'Online Store'. Additionally, change the reward trigger setting from 'Paid' to 'Fulfilled' to ensure points are awarded once the fulfillment process is completed in Shopify."
"vip","","Can I set up recurring perks for my loyalty program?","Currently, the Perk feature does not support recurring or scheduled setups; all perks are applied on a per-order basis only. However, our team is considering a new feature for recurring perks, such as an annual gift, and will keep you updated once it's available."
"rewards","","Are my customers only getting $10 off when they receive 100 points?","Yes, currently customers can redeem 100 points for a $10 off coupon. This setup is confirmed in your earning and redeeming programs."
"widget","","How can I improve loyalty program visibility on my website?","To improve loyalty program visibility, you can customize the loyalty widget settings to ensure it displays prominently on your storefront, including on the My Account page."
"points","","How can I add bonus points in Joy for a specific date and redeem them later without affecting other points?","You can add bonus points for all customers by exporting their email list and using our point adjusting sample file. Unfortunately, Shopify Flow does not support scheduling this action automatically. For redeeming points, the logic to burn points after a specific time is available only on the Ultimate plan. If a customer uses part of their bonus points, you'll need to manage the redemption carefully to avoid redeeming points earned from previous orders."
"billing","","Can I set up different earning values for different currencies in Joy?","Yes, you can set up different earning values for Qatar and UAE markets. The app will show the default currency in the settings, and you can configure earning and redeeming values according to that currency. If you use multiple currencies, the app will automatically convert them based on your front store settings."
"billing","","What does it mean when the reward programs will be disabled once I hit 200 transactions?","Once you hit 200 transactions, the reward programs will be disabled to prevent spamming or inappropriate use of the app. You can contact support to have this limit removed."
"points","","Is earning points for purchases considered a reward program?","Yes, earning points for purchases is considered a reward program, as it allows customers to accumulate points that can be redeemed for rewards."
"billing","","How does the 150 monthly order limit affect my free plan?","The 150 monthly order limit means that if you exceed 150 orders in a month, the reward program will be temporarily disabled until the next cycle or until you upgrade your plan."
"widget","","Can I restrict the visibility of the loyalty widget to only show on the account page while allowing a header button to open it from any page?","Yes, we have added a custom code to your theme that allows the widget to appear only on the account page, but it can be opened from any page when customers click on the Loyalty program button in the navigation. This customization eliminates the need for the page restriction feature."
"other","","Will excluding customers from loyalty programs prevent them from receiving loyalty-related emails?","Yes, if you exclude customers from the loyalty program using specific segments, they will be treated as regular customers and will not receive any loyalty-related notification emails."
"billing","","Can I get a discount for using Joy on two stores, considering one will have lower volume?","Currently, the POS integration feature is only available on the Advanced plan. However, you can continue using the Pro plan (now called Essential) for your new store without the POS feature. Your inquiry about discounts has been escalated to our Sales team for review."
"bug","","Why are points being reimbursed with the incorrect amount when a partial refund is given?","The issue with incorrect point adjustments during partial refunds was caused by a bug in our app's script. This bug has been resolved, and it will not happen again. If you have a list of affected orders, we can help you review and adjust points for customers accordingly."
"points","","How can I avoid incorrect point adjustments on future partial refunds?","The incorrect point adjustments were not caused by the 'Lock earning conditions at order creation' feature, but rather by a bug that has now been fixed. To avoid similar issues in the future, ensure that your earning rules are correctly configured and monitor any changes made to the earning conditions."
"integration","","Do we need 2 separate Klaviyo templates for each tier for birthday emails?","No, you don't need separate Klaviyo templates for each tier. You can use the Event properties provided in your email template to show the correct reward or tier for each customer. For example, use {{ event|lookup:'Current tier name'|default:'' }} for the current tier and {{ event.rewardType|default:'' }} and {{ event.reward|default:'' }} for the birthday reward type and value."
"referral","","Is there an update on the referral setup we requested?","Yes, a new feature has been released that allows you to customize how to send email notifications to referees. You can access this by navigating to Reward Program > Referral Program > Referral Flow > Choose Automated email sharing, then select Klaviyo trigger. Ensure the corresponding flow is set up in Klaviyo using the 'Joy: Referral Link Sent' trigger."
"referral","","If we give the referee store credit in the referral program, can the store credit be used in the order or future orders?","Yes, the referee can use the store credit on the referral order or future orders. However, the referee must complete their order using their reward for the referrer to be eligible for rewards."
"referral","","What is the limit of referrals for the free plan, and can the referral program be used by existing customers only?","With the Free plan, the limit is 30 referrals. To allow only existing customers to be referred, you can select the option 'Request login to refer' in the referral rules."
"referral","","Does the cap of 30 referrals refer to successful orders with the referrals or to shares/referrals?","The cap of 30 refers to 30 referral shares, not 30 successful orders. This means the limit is based on how many times the referral link is shared, regardless of whether those referrals result in completed purchases."
"points","","How can I set up a rewards program where customers earn points for purchasing watches, and ensure that points are only awarded after the purchase?","You can set up a rewards program where customers earn 1 circle (point) for each watch purchased, and each point can be redeemed for store credit of 100 GBP. To ensure points are awarded only after the purchase, configure the earning rule to apply points post-purchase rather than at the cart stage. This can be done in Joy under rewards program > earning rules."
"points","","Can all customers be automatically enrolled in the loyalty program without requiring registration?","Yes, customers who purchase or leave their email on your website without registering can still be synced to our app as guests. They can earn and redeem points without needing to register, but be aware that this may affect some membership programs or VIP tier calculations."
"referral","","How can I make the referral pop-up appear when customers share their link?","The pop-up will appear when referees open the invite link they receive from the referrers. If you're not seeing it during tests, ensure that the app's widget is enabled, as the pop-up cannot be shown if the widget is off."
"widget","","Is it possible to delete the card itself? Not just the number of points?","Yes, our tech team can hide the entire card for you. They have added CSS to remove the card, so please check your live store to confirm the changes."
"referral","","How can I customize email notifications for referees?","You can customize email notifications by navigating to Reward Program > Referral Program > Referral Flow > Choose Automated email sharing, and then select Klaviyo. Ensure the corresponding flow is set up in Klaviyo using the 'Joy: Referral Link Sent' trigger. For detailed instructions, refer to the guide provided."
"integration","","Comment puis-je afficher le solde de points de chaque client dans nos newsletters envoyées via Shopify Email ?","Joy stocke le solde de points dans les métafields du profil client Shopify, et vous pouvez utiliser le format approprié pour l'affichage. Cependant, Shopify Email ne prend pas en charge l'intégration directe avec notre application, ce qui signifie que vous ne pouvez pas afficher de valeurs dynamiques comme le solde de points. Pour cela, vous pouvez envisager d'utiliser des plateformes comme Klaviyo ou Omnisend qui supportent cette fonctionnalité."
"integration","","Joy expose-t-il un trigger Shopify Flow pour détecter une mise à jour du solde de points d'un client ?","Oui, Joy prend en charge un déclencheur dans Shopify Flow lorsque les clients gagnent, échangent ou ajustent manuellement leurs points. Cela vous permet de mettre à jour automatiquement les tags ou les métafields des clients avec le solde actuel."
"integration","","Dois-je activer des options spécifiques pour synchroniser les données de fidélité des clients vers Shopify ?","Après avoir activé la fonctionnalité dans l'application Joy, les données de fidélité des clients seront automatiquement synchronisées vers la page Clients Shopify. Les options supplémentaires ne sont pas obligatoires à activer, sauf si vous avez un cas d'usage spécifique."
"points","","Why are points not added to a customer's account?","Points are not added to a customer's account because the customer is a guest and does not have an account on your store. Only members, who have created an account, can earn points when placing orders. If you want to allow all customers to earn points regardless of account status, you can select the option 'All customers'."
"integration","","Will using the old type of customer accounts cause problems with Joy?","Joy Loyalty supports both the old and new customer account types. With the new system, any individual who provides their email address will be classified as a Member, allowing them to earn points. You can upgrade your customer account type in Settings > Customer account > Upgrade it without needing to change anything in your theme code."
"widget","","Can I install a feature that allows customers to delete the loyalty widget icon from the website?","Currently, we do not support the feature that allows customers to delete the loyalty widget icon. The widget will remain visible for customers who may want to access it and interact with the programs."
"integration","","Can I manage email notifications through Klaviyo for loyalty events?","Yes, you can integrate Joy with Klaviyo and set up your own email flows. However, for our native notifications, customers will receive loyalty event emails by default, as these are considered transactional. Customers can unsubscribe from these emails if they choose."
"points","","How is the tracking of points for social actions like following on TikTok managed?","Points for social actions are credited when customers click 'Take Action' on the widget, rather than verifying the actual action. This approach ensures compliance with platform policies while encouraging engagement."
"points","","How do you track points for signing up for newsletters?","Customers earn points for signing up for newsletters via a popup or footer form on your website. The data is synced with Shopify, and points are credited a few minutes after successful subscription."
"points","","How are points tracked for writing reviews, including Google reviews?","For writing reviews, points are awarded once the review is published or approved through an integrated review app. For Google reviews, customers must submit their review link via the widget, and points are credited upon approval."
"analytics","","Comment puis-je obtenir le détail des revenus générés par Joy, y compris les attributions spécifiques comme l'expiration des points ou les parrainages?","Actuellement, l'application ne prend pas en charge l'analyse et l'exportation des sources ou des détails des revenus assistés. Les revenus affichés dans les analyses concernent uniquement les commandes influencées par les remises du programme Joy Loyalty. Nous allons soumettre une demande de fonctionnalité pour suivre ces détails, mais cela prendra du temps. Pour l'instant, vous ne pouvez obtenir que le montant global des revenus générés par Joy."
"points","","Quel est le nombre de clients ayant rempli la condition d'expiration des points de 30 jours depuis début mars?","Aucun client n'a correspondu à l'état d'expiration des points de 30 jours, car la durée d'expiration actuelle est de 12 mois d'inactivité."
"widget","","How do I create a SEO-friendly loyalty page?","You can start creating your loyalty page and adding blocks to it by going to the Embed content section in the Joy Loyalty app."
"analytics","","How can I check analytics for performance?","You can review the analytics section in the Joy Loyalty app to check your performance metrics, such as redemption rates. It's also recommended to upgrade to the latest widget version for improved performance."
"integration","","How do I configure the pixel connection for Shopify's new Thank You / Order Status pages?","Currently, the pixel connection works for the referral program feature only. To display loyalty information on the Thank You page, you can open the Thank You page editor and check the available blocks to add."
"billing","","Can I extend my trial period for the Joy Loyalty app?","Yes, you can extend your trial period. After internal discussion, we offer you another free trial period of 14 days after the first free trial. Just uninstall Joy within today to avoid paying for the first month, and I will manually enable Joy Ultimate for you for 14 days for free."
"points","","What happens to the points I've already earned if I uninstall and reinstall Joy for the new trial?","When you uninstall Joy and then reinstall it immediately, the data, including the points you've already earned, should still be there."
"points","","Can I manually adjust points in bulk for registered and subscribed users if their points issue isn't resolved soon?","Yes, we are reviewing your request for manually adjusting points in bulk for your registered and subscribed customers. I will keep you informed as soon as I have any updates."
"points","","Why do the actual amount spent by users and the points awarded not match exactly?","The discrepancy is likely due to your current settings, where customers do not earn points on the tax amount. If you want the tax to be converted to points, you can enable the 'Reward points for tax' option in the Reward Programs > Earning programs settings."
"referral","","Will the referrer receive their reward only after the referee completes their first purchase?","Yes, the referrer will only receive their rewards after the referee has successfully placed and paid for their purchase."
"rewards","","Comment les clients peuvent-ils utiliser des points sur le site web ?","Les clients peuvent se connecter à leur compte sur la boutique et accéder au bloc « Moyens d’échanger » sur le widget Joy ou la page Fidélité pour échanger des points. Vous devez activer le widget Joy dans l'application Theme pour permettre aux clients de le voir."
"rewards","","Est-ce que les clients peuvent échanger des points uniquement avec le widget ?","Non, les clients peuvent également échanger des points via la page Fidélité. Le widget est une option, mais il existe plusieurs façons d'échanger des points."
"referral","","How does the currency conversion work for referral rewards in different markets?","Joy does not handle currency conversion. Your referral reward is set as 200 Kč, and if customers shop in EUR, Shopify will automatically convert this amount at checkout based on its exchange rate. The converted amount cannot be manually rounded or fixed within Joy."
"referral","","How flexible is Joy when setting up a referral program in a new country?","Currently, Joy supports only one referral program per store, which applies the same rules for all customers regardless of region. Therefore, it is not possible to set different rewards for different markets within the same store."
"widget","","How can I standardize the currency formatting for CZK in Joy?","You can edit the currency format for the blocks in the settings. However, a full review of all currency displays across the widget is being conducted to ensure correct formatting globally."
"widget","","Where can I translate the 'PERK DISCOUNT' label in Joy?","You can translate the 'PERK DISCOUNT' label inside the perk settings of each tier."
"widget","","How can I change the spend amount and caption from English to Czech?","You can find the translation settings in the Joy app. If the spend amount and caption are still in English, please check the translation settings again or contact support for further assistance."
"vip","","Will the 500 bonus points for reaching the silver tier count toward the progress to the next tier?","The 500 bonus points of the entry reward won't be counted toward the tier progress."
"vip","","Do the 100 bonus points for every order after reaching silver count toward the next tier?","Those bonus points won't count toward the tier progress. Only the points from the Earning programs will be calculated."
"widget","","Why is the VIP tier icon not showing in emails?","The issue with the VIP tier icon not appearing in emails has been identified and resolved by our dev team. The icon should now display correctly."
"points","","Can I manually add points to guests or any members without signing through the app?","Yes, you can manually add points to Members and Guests in the Joy app by accessing the Customers section, selecting a specific customer profile, and adjusting points."
"points","","Why didn't I receive an email notification after manually adjusting points for a customer?","Currently, we do not support sending email notifications to members for manual points adjustments. Notifications are only sent when customers interact with the earning program themselves."
"billing","","Can I downgrade to $0/month and continue the remaining free trial for $29/month once we finalize the rewards?","You can downgrade to the Started plan before your trial ends to avoid being charged. However, once the trial has been used, it cannot be reactivated, so you won't be able to continue the trial period after downgrading."
"migration","","Est-il possible de fusionner deux comptes clients dans Joy Loyalty?","Oui, il est possible de fusionner deux comptes clients dans Joy Loyalty. Vous devez d'abord fusionner les comptes sur Shopify Admin, puis nous vérifierons si les comptes sont fusionnés de notre côté et mettrons à jour le solde des points en conséquence."
"integration","","Does Joy generate a barcode that can be scanned in Shopify POS to identify the Shopify customer automatically?","Yes, Joy supports generating a barcode that can be scanned in Shopify POS to automatically identify the Shopify customer, provided that the barcode is correctly linked to the customer in Shopify and that the customer already exists in your Shopify customer list."
"pos","","How does the POS workflow work for customer identification, point earning, redemption, refund handling, and VIP tier calculation?","1. When the barcode generated by Joy is scanned in Shopify POS, the Shopify customer profile will automatically appear. 2. Joy will automatically award loyalty points for the POS order once the customer is identified and completes the purchase. 3. Customers can redeem loyalty points during Shopify POS checkout, provided the redeem program is set up to allow this. 4. If a POS order is refunded, Joy will automatically deduct the previously awarded points. 5. VIP tiers are calculated based on both online and POS orders if the earning rules are set to include both."
"widget","","Can all customer-facing parts of Joy be displayed in Japanese?","Yes, Joy has a translation setting that can translate all app features into other languages, including Japanese."
"migration","","Is it possible to import existing customer points into Joy from another platform?","Yes, Joy supports migration features that allow you to import existing customer points and data via CSV file, including customer email/ID and points balance."
